Informazioni cronologiche,Genere ,Età,Grado di istruzione ,Quanto tempo trascorri in media giocando ai videogiochi ogni giorno?,Quale stile di videogioco preferisci di più?,"Se hai premuto ""Altro"" rispondi qui ",Credi che i videogiochi siano una forma d'arte?,"Se hai premuto ""Dipende"" puoi specificare qui",C’è un videogioco che ti ha insegnato qualcosa di utile per la tua formazione scolastica e professionale?”  ,Se hai premuto “Sì” scrivi quale videogioco ti è stato più utile ,"
Qual è il dispositivo che preferisci utilizzare per giocare?","Se hai premuto ""Altro"" rispondi qui ","
Quali videogiochi ritieni ti abbiano arricchito culturalmente riguardo alla mitologia o alla storia?","Se hai premuto ""Altro"" rispondi qui ",Pensi che sia possibile utilizzare i videogiochi che non sono stati concepiti per scopi didattici come strumenti formativi?,"Se hai premuto ""Dipende"" puoi specificare qui","
Credi che i videogiochi online possano facilitare la connessione tra le persone e offrire un'alternativa alla socialità tradizionale?","Sei hai premuto ""Dipende"" puoi specificare qui ",Hai mai pensato di creare un gioco?,"Pensi che un videogioco ti abbia ispirato ad approfondire conoscenze su un argomento ( per esempio letterario, culturale, storico, sociale, scientifico, artistico, o ecc.) ?","Hai mai imparato un'altra lingua o migliorato le tue competenze linguistiche grazie ai videogiochi, sia online che in modalità single player?",Sei hai premuto Altro specifica qui,"Secondo te, è possibile paragonare l'importanza narrativa di un videogioco a quella di media più tradizionali come libri, film o prodotti di animazione?  ",Credi che i videogiochi ti abbiano insegnato a risolvere problemi in modo creativo e originale (problem solving)?,Pratichi attività fisica ?,"Pensi che gli Esport (Sport elettronici) possano essere considerati una pratica professionale (ad esempio, league of legends, counter-strike, street fighter,  StarCraft,  Assetto corsa) ?","Hai migliorato le tue abilità sociali grazie ai videogiochi? (ad esempio comunicazione, espressione, empatia ecc.)",Frequenti amici che non usano videogiochi o preferisci la compagnia di chi condivide come te questa passione?
20/04/2024 12.07.40,Uomo,Generazione X (1965-1980),Laurea o superiore,2-3 ore,Single player,,Si,,Si,,"Console, Cloud",,Assassin's creed (saga),,No,,Si,,No,Si,No non ho imparato un altra lingua,,Si,Si,Si tutti i giorni,No,No,Non ho preferenze
20/04/2024 12.09.18,Uomo,Baby boomers (1946-1964),Laurea o superiore,4-6 ore,Single player,,Si,,Si,,"Console, Cloud, PC",,"Assassin's creed (saga), God of War (saga Greca), Age of Empire, Sid Meier's Civilization",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,Si,No,Non ho preferenze
20/04/2024 12.10.36,Uomo,Generazione X (1965-1980),licenza media,Meno di un’ora,Single player,,No,,No,,Cloud,,Nessuno,,No,,No,,No,No,No non gioco ai videogiochi,,No,No,Si tutti i giorni,No,No,Non ho preferenze
20/04/2024 12.12.17,Uomo,Millennials (1981-1996),licenza media,2-3 ore,Single player,,Si,,No,,Console,,"Assassin's creed (saga), Age of Empire, Immortals fenyx rising",,No,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
20/04/2024 12.25.02,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Non saprei,,Console,,"Assassin's creed (saga), Age of Empire",,Si,,Dipende (specifica),"Dipende dalla community, alcune sono tossiche per via della competitività",No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Non ho preferenze
20/04/2024 12.30.39,Uomo,Generazione X (1965-1980),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Si,"Tutti, per la lingua inglese","Console, Console portatili, PC",,"Assassin's creed (saga), God of War (saga Greca)",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
20/04/2024 12.32.55,Uomo,Generazione X (1965-1980),Diploma o licenza superiore,4-6 ore,Single player,,Si,,No,,"Cloud, PC",,Assassin's creed (saga),,Si,,No,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,No,No,Preferisco la compagnia di chi non videogioca
20/04/2024 12.34.02,Uomo,Millennials (1981-1996),Laurea o superiore,Non gioco regolarmente,Multiplayer Online,,Si,,Non saprei,,Console,,Nessuno,,No,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Non ho preferenze
20/04/2024 12.41.14,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Entrambi,,Si,,Non saprei,,PC,,"Assassin's creed (saga), God of War (saga Greca), Age of Empire, Sid Meier's Civilization, Altro (specifica)",Saga di Imperium,Si,,Dipende (specifica),"La formazioni di connessioni sociali all'interno dei videogiochi cambia dal modo di porsi verso i giochi stessi, in base al loro genere e alla community che vi si trova",No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
20/04/2024 12.59.50,Donna,Millennials (1981-1996),Laurea o superiore,Mai,Nessuno,,No,,No,,Non gioco ai Videogiochi,,Nessuno,,Si,,Mi astengo dal giudizio,,No,No,No non gioco ai videogiochi,,Si,Non gioco ai videogiochi,Mai o quasi mai,No,Non gioco ai videogiochi,Non gioco ai videogiochi
20/04/2024 13.01.59,Uomo,Generazione X (1965-1980),Laurea o superiore,2-3 ore,Single player,,No,,No,,Console,,Nessuno,,No,,No,,L'ho fatto,No,No non ho imparato un altra lingua,,No,No,Meno di una volta a settimana,No,No,Preferisco la compagnia di chi non videogioca
20/04/2024 13.02.11,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,No,,Console,,"Assassin's creed (saga), Age of Empire, Sid Meier's Civilization",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 13.06.14,Uomo,Generazione X (1965-1980),Diploma o licenza superiore,7>,Entrambi,,Si,,Non saprei,,Console,,"Assassin's creed (saga), Ryse son of rome",,Si,,Si,,No,Si,No non ho imparato un altra lingua,,Si,Si,Mai o quasi mai,No,Si,Non ho preferenze
20/04/2024 13.18.48,Donna,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,No,,"Console, PC, Smartphone /Tablet",,Assassin's creed (saga),,Si,,Si,,No,Si,No non ho imparato un altra lingua,,Si,Si,Si ogni settimana,Si,No,Preferisco la compagnia di chi videogioca
20/04/2024 13.25.15,Uomo,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Entrambi,,Dipende (specifica),"Non sono considerabili arte, ma per esempio quello che fa Naughty Dog si avvicina molto ad un buon film o un buon libro che ti lascia qualcosina in più",No,,PC,,Nessuno,,No,,No,,Si,No,No non ho imparato un altra lingua,,Si,No,Si ogni settimana,No,No,Preferisco la compagnia di chi non videogioca
20/04/2024 13.29.13,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,No,,PC,,"God of War (saga Greca), God of war (saga norrena), Age of Empire",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
20/04/2024 13.31.59,Donna,Millennials (1981-1996),Diploma o licenza superiore,4-6 ore,Single player,,Si,,No,,"Console, Smartphone /Tablet",,Assassin's creed (saga),,Si e li utilizzo,,Si,,No,Si,No non ho imparato un altra lingua,,Si,No,Mai o quasi mai,Si,No,Preferisco la compagnia di chi videogioca
20/04/2024 13.34.26,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Si,FTL tutti i temi che ho mia scritto sono basati sulle mie partite a FTL,PC,,Sid Meier's Civilization,,Dipende (Specifica),I giochi che non hanno scopo formativo posso insegnare qualcosa ma l'efficenza con cui lo fanno è sicuramente inferiore a uno che ha questo scopo,Dipende (specifica),Buono per iniziare amicizie ma il contato umano è necessario,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,Si,Non ho preferenze
20/04/2024 13.34.50,Uomo,Generazione X (1965-1980),licenza media,Meno di un’ora,Entrambi,,Si,,Non saprei,,Console,,Assassin's creed (saga),,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Si tutti i giorni,No,Si,Non ho preferenze
20/04/2024 13.34.59,Uomo,Generazione Z (1997-2012),licenza media,2-3 ore,Entrambi,,No,,No,,"Console, PC",,Nessuno,,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,No,Si,Si ogni settimana,No,Si,Non ho preferenze
20/04/2024 13.35.36,Uomo,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Entrambi,,Dipende (specifica),"Dipende se il videogioco è stato creato con questa ottica in mente, un call of duty è lontano dall'essere un'opera d'arte ",No,,"Console, PC",,Assassin's creed (saga),,No,,Dipende (specifica),"Si ma solo se l'amicizia che si crea online in qualche modo poi si protrae nella vita reale, vedendosi di persona o comunque contattandosi al di fuori delle piattaforme di gioco, altrimenti le amicizie che si creano online come su PSN, XboX Live o Steam, per dirne alcuni, sono estremamente superficiali",No,No,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,No,No,Non ho preferenze
20/04/2024 13.36.10,Uomo,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Single player,,Si,,Si,Ho imparato l'inglese con final fantasy 7,"Console, PC",,"God of War (saga Greca), God of war (saga norrena), Hades",,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
20/04/2024 13.40.07,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Entrambi,,No,,Si,"Factorio, Minecraft con mod ",PC,,Assassin's creed (saga),,Si,,No,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
20/04/2024 13.43.56,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,No,,Non saprei,,PC,,Age of Empire,,Si,,Si,,Si,No,Ho potenziato le conoscenze di un altra lingua,,No,Si,Mai o quasi mai,No,Si,Preferisco la compagnia di chi videogioca
20/04/2024 13.47.08,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Non saprei,,"Console, PC",,Assassin's creed (saga),,Si,,Si,,No,Si,No non ho imparato un altra lingua,,Si,Si,Mai o quasi mai,No,Si,Non ho preferenze
20/04/2024 13.47.28,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Non saprei,,"Console portatili, PC",,Sid Meier's Civilization,,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Mai o quasi mai,Si,No,Preferisco la compagnia di chi videogioca
20/04/2024 13.48.01,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Multiplayer Online,,Dipende (specifica),"I giochi basati sugli sport non li trovo come forma d'arte, mentre gli open word e single player basati su una storia si",Non saprei,,Console,,"Assassin's creed (saga), Altro (specifica)","Hellblade Senua's Sacrifice, Dante's Inferno",Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 13.49.08,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,4-6 ore,Multiplayer Online,,No,,No,,"Console, PC, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,No,,Si,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,No,Mai o quasi mai,Si,No,Non ho preferenze
20/04/2024 13.50.41,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Non saprei,,PC,,Nessuno,,Si,,No,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
20/04/2024 13.51.18,Uomo,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Entrambi,,Si,,No,,"Console, Console portatili, PC, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Ryse son of rome, Altro (specifica)",RDR2,Si,,No,,L'ho fatto,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,Si,No,Non ho preferenze
20/04/2024 13.53.27,Uomo,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Single player,,No,,Si,Papers please,PC,,Nessuno,,No,,Dipende (specifica),Facilitano la connessione delle persone ma non offrono un'alternativa alla socialità tradizionale.,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
20/04/2024 13.53.47,Uomo,Generazione Z (1997-2012),Laurea o superiore,Meno di un’ora,Single player,,Si,,Si,Minecraft,PC,,Nessuno,,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
20/04/2024 13.54.51,Uomo,Generazione X (1965-1980),licenza media,Non gioco regolarmente,Entrambi,,Si,,No,,PC,,Altro (specifica),"The Great War, Soldats Inconnue",Si,,Si,,No,No,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 13.55.59,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Multiplayer Online,,Si,,Si,Minecraft,"Console, Console portatili, PC",,Assassin's creed (saga),,Si,,No,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
20/04/2024 13.56.40,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Entrambi,,Dipende (specifica),"I videogiochi incorporano molte categorie di media (disegni, musica, character design…) ed oramai farli è diventato anche più accessibile. Sono arte? Dipende: un quadro è arte solo perché è un quadro? Un film è arte solo perché è un film? No, ci sono film e quadri che oggettivamente fanno schifo, mentre ce ne sono altri che rappresentano qualcosa, che sono stati fatti con cura, che in alcuni casi hanno rivoluzionato il settore e che di conseguenza possono essere ritenuti arte. Questo ragionamento vale anche per i videogiochi, ci sono giochi fatti col culo ed altri che nel loro piccolo hanno un grande significato. (Ovviamente è la mia opinione, ci sta essere in disaccordo)",Non saprei,,"Console, PC",,Ryse son of rome,,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 14.00.44,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Entrambi,,No,,No,,"Console, Smartphone /Tablet",,Nessuno,,Si,,No,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,No,Si,Preferisco la compagnia di chi non videogioca
20/04/2024 14.01.52,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Multiplayer Online,,Si,,No,,"Console, Cloud, Console portatili, PC",,Nessuno,,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,No,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
20/04/2024 14.02.03,Altro,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Multiplayer Online,,Si,,Si,Minecraft,"Console, Console portatili, PC, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
20/04/2024 14.02.13,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Entrambi,,No,,No,,Console,,"Altro (specifica), Nessuno",Non li ho mai giocati :(,No,,Dipende (specifica),A mio parere non potranno mai sostituire i rapporti che si instaurano nella vita vera MA possono permettere di creare amicizie che possibilmente potranno consolidarsi in vita reale (tratto da una storia vera),No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,No,No,Non ho preferenze
20/04/2024 14.02.46,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Dipende (specifica),Dipende dall’intento del creatore,Si,Hearts of Iron 4,"PC, Smartphone /Tablet",,"Assassin's creed (saga), Altro (specifica)","Hearts of Iron 4, Europa Universalis ",Dipende (Specifica),Dipende dalla serità degli studenti,No,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 14.03.23,Uomo,Generazione Z (1997-2012),licenza media,Meno di un’ora,Single player,,Si,,No,,PC,,Altro (specifica),Red Dead Redemption 2,No,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
20/04/2024 14.04.40,Uomo,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Single player,,Si,,Si,Final fantasy 7,"Console, PC, Smartphone /Tablet",,"Assassin's creed (saga), Age of Empire, Sid Meier's Civilization",,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
20/04/2024 14.07.04,Uomo,Generazione Z (1997-2012),Laurea o superiore,Meno di un’ora,Single player,,Si,,No,,Console portatili,,Nessuno,,Dipende (Specifica),Dipende dal videogioco e dall'accuratezza dei fatti storici riportata. Sicuramente un Assassin's Creed sarebbe terribile in quanto distorce la storia in maniera anche ridicola,No,,No,Si,No non ho imparato un altra lingua,,Si,No,Si tutti i giorni,No,No,Preferisco la compagnia di chi non videogioca
20/04/2024 14.07.35,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Entrambi,,Si,,No,,"Console, Console portatili",,Nessuno,,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 14.08.09,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,No,,"Console, PC",,Nessuno,,Si,,Si,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
20/04/2024 14.09.09,Uomo,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Single player,,No,,No,,PC,,"Assassin's creed (saga), Age of Empire",,Si,,Si,,Si,No,No non ho imparato un altra lingua,,No,No,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 14.09.56,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Si,Squad,"PC, VR",,God of War (saga Greca),,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,No,Si,Si ogni settimana,No,Si,Non ho preferenze
20/04/2024 14.10.03,Uomo,Generazione Z (1997-2012),Laurea o superiore,Mai,Nessuno,,No,,No,,Non gioco ai Videogiochi,,Nessuno,,No,,Si,,No,No,No non gioco ai videogiochi,,No,No,Si ogni settimana,No,Non gioco ai videogiochi,Non ho preferenze
20/04/2024 14.11.00,Uomo,Generazione Z (1997-2012),Laurea o superiore,Meno di un’ora,Single player,,Si,,No,,Console,,Nessuno,,Si,,No,,L'ho fatto,No,No non ho imparato un altra lingua,,No,No,Mai o quasi mai,Si,No,Non ho preferenze
20/04/2024 14.11.13,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Single player,,Si,,No,,PC,,"Assassin's creed (saga), Hades, Sid Meier's Civilization",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Preferisco la compagnia di chi videogioca
20/04/2024 14.12.49,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,I giochi God of war ed Assassin's Creed ,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 14.13.32,Altro,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Non saprei,,"Console, Smartphone /Tablet",,Nessuno,,Si,,Si,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 14.15.14,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Entrambi,,Si,,Non saprei,,PC,,Assassin's creed (saga),,Si,,Dipende (specifica),Dipende come si comporta un utente se è aperto a dialogare con gli altri in modo maturo o non.,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,No,Mai o quasi mai,No,No,Non ho preferenze
20/04/2024 14.15.44,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Entrambi,,Si,,Si,Hearts of Iron,PC,,"Assassin's creed (saga), Altro (specifica)","Hearts of Iron, Europa Universalis, Crusader Kings",Si,,Mi astengo dal giudizio,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,No,Si,Non ho preferenze
20/04/2024 14.16.22,Uomo,Generazione X (1965-1980),licenza media,4-6 ore,Entrambi,,Si,,Si,,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Ryse son of rome",,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 14.17.10,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Single player,,Si,,No,,PC,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades",,Si,,Mi astengo dal giudizio,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Preferisco la compagnia di chi videogioca
20/04/2024 14.20.48,Uomo,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Entrambi,,Si,,Si,Europa Universalis IV,PC,,Altro (specifica),Europa Universalis IV,Si,,Mi astengo dal giudizio,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,No,No,Non ho preferenze
20/04/2024 14.21.04,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,4-6 ore,Entrambi,,Si,,No,,PC,,"God of War (saga Greca), God of war (saga norrena), Nessuno",,Si,,No,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,Si,No,Non ho preferenze
20/04/2024 14.21.25,Uomo,Generazione X (1965-1980),Laurea o superiore,Meno di un’ora,Single player,,Si,,Si,Zelda botw,"Console, Console portatili, PC",,"Assassin's creed (saga), God of War (saga Greca)",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 14.21.35,Uomo,Generazione Z (1997-2012),Laurea o superiore,Meno di un’ora,Entrambi,,No,,No,,PC,,Assassin's creed (saga),,Si,,Si,,No,Si,No non ho imparato un altra lingua,,Si,No,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 14.22.18,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Meno di un’ora,Entrambi,,Si,,No,,"Console, PC, Smartphone /Tablet",,God of war (saga norrena),,Si,,Si,,L'ho fatto,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
20/04/2024 14.22.30,Uomo,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Single player,,Si,,No,,"PC, Smartphone /Tablet",,Nessuno,,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
20/04/2024 14.23.48,Uomo,Generazione Z (1997-2012),Laurea o superiore,4-6 ore,Entrambi,,Si,,Si,"Dark souls è stato utile come esperienza atta a generare un cambiamento rispetto all'interpretazione di errori e fallimenti, questo sia nella vita accademica sia in quella personale",PC,,"Assassin's creed (saga), Hades, Altro (specifica)",Crusader's Kings 3,Dipende (Specifica),"Dipende dal target demografico, dai temi presenti nel videogioco, ecc. Soggetti già avvezzi agli sparatutto potrebbero sfruttarli per allenare le competenze spaziali e di coordinazione. Per dei bambini avversi alla violenza, questo tipo di videogiochi non sarebbe adeguato.",Dipende (specifica),"La socialità in rete non può sostituire quella fisica. Molto dell'interazione è linguaggio non verbale, prossemica, contatto fisico con l'altro. È sicuramente meglio di niente, ma non è sostitutiva.",Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
20/04/2024 14.24.56,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Si,La serie Assassin’s Creed,"Console, Smartphone /Tablet",,"Assassin's creed (saga), Age of Empire, Sid Meier's Civilization",,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
20/04/2024 14.25.32,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Entrambi,,Si,,Si,Assassin's Creed ,"Console, Smartphone /Tablet",,Assassin's creed (saga),,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,Si,No,Non ho preferenze
20/04/2024 14.25.49,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Entrambi,,Dipende (specifica),Intendo giochi dall'elevato impatto morale o dalla direzione artistica eccezionale,Non saprei,,"Console, Cloud, Console portatili, PC, VR",,Assassin's creed (saga),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 14.26.09,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Single player,,Si,,Non saprei,,"PC, Smartphone /Tablet",,"Assassin's creed (saga), God of war (saga norrena), Sid Meier's Civilization",,Dipende (Specifica),,Dipende (specifica),,L'ho fatto,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Non ho preferenze
20/04/2024 14.26.25,Uomo,Generazione Z (1997-2012),Laurea o superiore,Meno di un’ora,Multiplayer Online,,Si,,Non saprei,,"Console, Smartphone /Tablet",,"Assassin's creed (saga), Age of Empire",,No,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,No,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 14.26.45,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Si,Già solo giocarli in inglese ti aiuta con la lingua. Poi i vari Assassin's Creed ti aiutano in storia come i videogames di guerra.,"Console, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,No,No,Non ho preferenze
20/04/2024 14.27.27,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Entrambi,,Si,,Si,Valiant Hearts,"Console, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades, Altro (specifica)","Valiant Hearts, Crusader Kings, Total War saga",Si,,Dipende (specifica),"Co-op si, non versus",No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
20/04/2024 14.27.49,Uomo,Generazione Z (1997-2012),Laurea o superiore,Meno di un’ora,Entrambi,,Si,,Non saprei,,Console,,Nessuno,,Dipende (Specifica),,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,Si,No,Non ho preferenze
